question,answer,label
What is respiration in plants?,Respiration is how plants and animals take in oxygen and great energy.,avarage
Define evaporation.,Evaporation is when water turns into gas and goes into the air.,avarage
Explain condensation.,Condensation is when gas changes into water drops.,avarage
Describe the function of leaves.,Leaves make food for the plant using sunlight.,avarage
What causes seasons on Earth?,"Seasons happen because the Earth is tilted on its side a little bit as it goes around the sun. When our part of the Earth is tilted towards the sun, we get more direct sunlight and its summer. When its tilted away, we get less direct sunlight and its winter!",avarage
Define thermal energy.,Energy is what makes things move and work.,avarage
Explain water conservation.,"Water conservation means saving water! Its important because we dont have an endless supply of fresh water. We can conserve water by taking shorter showers, turning off the faucet while brushing our teeth, and fixing leaky pipes.",avarage
What is a habitat?,"A habitat is like a home for animals and plants. Its where they live and find everything they need to survive, like food, water, and shelter.",avarage
Describe the food chain.,"A food chain shows how living things get their energy by eating other living things. It starts with plants (producers) that make their own food. Then, animals that eat plants (primary consumers) come next. After that, animals that eat other animals (secondary or tertiary consumers) are higher up the chain. Its like a line of who eats whom!",avarage
Explain how magnets attract.,"Magnets attract each other because they have two different ends, called poles: a north pole and a south pole. When you put a north pole near a south pole, they pull towards each other, like they want to give each other a hug! But if you try to put two north poles together, they push away.",avarage
Describe solar energy usage.,Energy is what makes things move and work.,poor
What is soil erosion?,"Soil erosion is when the top layer of soil, which is really important for plants, gets carried away by wind or water. Its like the ground is washing or blowing away.",good
Explain composting.,"Composting is when you take things like fruit and vegetable scraps, leaves, and grass clippings, and you let them rot down into a rich, dark dirt called compost. This compost is super good for plants because it gives them nutrients!",avarage
Define biodegradation.,"Biodegradation is when tiny little things called microbes (theyre too small to see!) eat up and break down natural materials, like food scraps or paper, until they disappear. Its like natures way of cleaning up!",avarage
Explain water pollution.,"Water pollution is when harmful things, like trash, chemicals, or oil, get into our water sources like rivers, lakes, and oceans. This makes the water dirty and unsafe for animals and people.",avarage
Define renewable energy.,Energy is what makes things move and work.,poor
Explain sound reflection.,"Sound reflection is when sound waves bounce off something, like a wall or a mountain, and come back to our ears. Thats how we hear echoes!",good
Describe the life cycle of a butterfly.,"A butterflys life cycle has four main parts! It starts as a tiny egg. Then, the egg hatches into a hungry caterpillar (larva). The caterpillar eats and grows, and then it forms a chrysalis (pupa) where it sleeps and changes. Finally, a beautiful butterfly emerges from the chrysalis!",good
What is a renewable resource and examples?,"A renewable resource is something that we can use over and over again, and it wont run out, or it can be easily replaced. Examples are sunlight (solar energy), wind, and water.",good
Describe Earths atmosphere layers.,"The Earths atmosphere is like a big blanket of air around our planet, and it has different layers! Troposphere: This is the layer closest to us, where we live and where weather happens. Stratosphere: This layer has the ozone layer, which protects us from the suns harmful rays. Mesosphere: This is where most meteors burn up. Thermosphere: This layer is very hot, and where the Northern and Southern Lights happen. Exosphere: This is the very outer edge of our atmosphere, where it blends into space.",good
Explain evaporation and condensation cycle.,Evaporation is when water turns into gas and goes into the air.,avarage
Describe the greenhouse effect.,"The greenhouse effect is like how a greenhouse (a special house for plants) stays warm. The Earth has certain gases in the air that trap some of the suns heat, keeping our planet warm enough for us to live. Without it, the Earth would be too cold!",good
What is lunar eclipse?,"A lunar eclipse is when the Earths shadow covers the moon, making it look dark.",avarage
Describe water filtration process.,Water filtration is like cleaning water with special filters to make it clean.,avarage
Explain simple circuit components.,"A simple circuit has a battery to give power, wires to carry it, a switch to turn it on or off, and a light bulb.",good
Describe evaporation in cooling.,Evaporation is when water turns into gas and goes into the air.,avarage
What is biodegradation and its benefit?,Biodegradation is when nature breaks down trash so it doesnt pollute.,avarage
Explain animal adaptation.,"Animal adaptation is when animals change to live better in their homes, like having thick fur in cold places.",avarage
Describe the water table.,The water table is like the top of the water that is under the ground.,avarage
What is photosynthesis importance?,"Photosynthesis is how plants make food using sunlight, water, and air.",avarage
Explain magnetic poles.,"Magnets have two ends, a north and a south pole, and thats where they are strongest.",good
Describe how water vapor is formed.,Water vapor is made when water gets warm and turns into a gas that floats in the air.,avarage
Explain importance of water for plants.,"Water helps plants make their food, grow big, and move food around inside them.",avarage
Explain gravity with example.,Gravity pulls things down to the ground.,poor
List three states of matter.,"The three states of matter are solid, liquid, and gas.",good
Difference between renewable and non-renewable resources.,"Renewable resources are like sunshine, they always come back. Non-renewable resources are like oil, and once we use them, they are gone.",avarage
Describe structure of soil layers.,"Soil has different layers, like a top part where plants grow, and harder parts underneath.",avarage
Explain cause of day and night.,"Day and night happen because the Earth spins around. When our side faces the sun, its day, and when it faces away, its night.",avarage
Describe function of kidney.,Our kidneys clean our blood and make us pee out the yucky stuff.,avarage
Explain simple machine lever.,A lever is a simple tool like a seesaw that helps us lift heavy things.,avarage
Define pollution and its types.,"Pollution is when bad stuff gets into our air, water, or land.",avarage
Describe properties of sound.,"Sound can be high or low, loud or soft, and it travels at different speeds.",avarage
Describe different layers of Earth.,"The Earth has layers, like the outside part where we live, and then a middle and an inside part.",avarage
Define ecosystem with examples.,"An ecosystem is like a neighborhood where all living and nonliving things live together, like a forest or a pond.",good
Explain blood components and functions.,  ,poor
Define energy and list forms.,Energy is what makes things move and work.,avarage
Define density and give formula.,"Density is how much stuff is packed into something, like how heavy something is for its size.",avarage
Explain function of lungs.,Our lungs help us breathe in good air and breathe out bad air.,avarage
Explain greenhouse effect and its impact.,"The greenhouse effect is like a blanket around Earth that keeps it warm. But if it gets too thick, it makes the Earth too hot.",avarage
Explain electrical safety in home.,"Electrical safety means being careful with electricity, like not touching plugs with wet hands.",avarage
Define microorganisms used in food production.,"Microorganisms are tiny living things that help make food, like yeast for bread or bacteria for yogurt.",avarage
Describe germination factors.,"Seeds need water, air, and warmth to start growing.",good
Explain effects of deforestation.,"When too many trees are cut down (deforestation), animals lose their homes, the dirt washes away, and it makes the Earth hotter.",avarage
Define moon phases and name few.,"Moon phases are how the moon looks different in the sky, like a full moon or a half moon.",good
What is classification?,classification is wen you put organism in group base on how same they are,avarage
Name the five kingdoms of living organisms.,"Monera, Protist, Animal, Plants",avarage
Give one difference between monocot and dicot plants.,Monocots are bigger than dicots.,poor
Why do elephants have large ears?,   ,poor
Write one similarity between fungi and animals.,Fungi and animal make there own food,poor
Give an example of a vertebrate.,Dog is a vertebrate,good
What are microorganisms?,micro organisms are small things seen with naked eye,avarage
Are all microorganisms harmful?,"No, not all microorganisms are bad. Some are usefull",good
Name a disease caused by a virus.,Flu is viral fever.,good
What is the role of bacteria in soil?,They clean dead things,avarage
Name one useful role of microorganisms.,Used for medicine,avarage
Name two conditions needed for germination.,warm and water,good
Name the parts of a seed.,Coat and baby seed,avarage
What is pollination?,Transfer of pollens in flowers,good
What is the role of petals in a flower?,Petals are beautiful,avarage
Name one plant that has seeds with wings.,Mapel,good
Name three types of microorganisms.,"fungus, virus, bacteria",good
Are all microorganisms harmful?,some are good and bad,good
Which microorganism is used to make yogurt?,Lactobacillus,good
Name a disease caused by a virus.,Covid-19,good
What tool is used to see microorganisms?,microscop,good
Name one helpful microorganism.,Yeast help make bread,good
What is an example of a harmful microorganism?,Salmonella,good
How do microorganisms spread?,"They move in water, air and touch",good
Which microorganism causes malaria?,Plasmodium,good
Can we see bacteria with the naked eye?,No,good
How can we protect ourselves from harmful microorganisms?,clean hands and cook food well,good
What is the shape of most bacteria?,They are rod or round,good
What is the function of a flower?,It helps plant grow,avarage
Name four main parts of a flower.,"Petals, stamens, sepal, pistel",good
What is the stamen?,It makes pollen,good
What is the pistil?,It makes seed,good
Where is pollen made?,In anther,good
What is the function of the stigma?,Catch the pollen,good
What connects the stigma to the ovary?,The style,good
What is pollination?,Pollen move to pistil,good
Why is pollination important?,To make seeds,good
Name two types of pollination.,cross and self,good
What is self-pollination?,Pollen lands on same flower or same plant.,avarage
Name two agents of pollination.,"Wind, insects.",good
Which flower part makes nectar?,Nectar is made at flower base.,good
What is fertilization?,Male and female cells combine to make seed.,good
Give one example of a plant that uses wind for pollination.,Corn uses wind.,avarage
Give one example of a plant that uses insects for pollination.,Rose uses insects.,avarage
Which is more common: self or cross-pollination?,Cross-pollination happens more.,good
Why do some plants have small or no petals?,Wind plants don't need big petals.,avarage
What is a fruit?,Fruit is a grown ovary with seeds.,good
Name two types of reproduction in plants.,"Sexual, asexual.",good
Name one example of a plant that reproduces asexually.,Potato uses tubers.,good
Which part of the flower takes part in sexual reproduction?,Stamens and pistils.,good
